Paten,village,-7.522576747590846,110.38828396963395
Sengi,village,-7.5198497721908995,110.3729563101904
Kapuhan,village,-7.511971643036808,110.36142859627752
Krogowanan,village,-7.5250912354809705,110.34179256202748
Mangunsoko,village,-7.535730474132319,110.3527393561696
Sewukan,village,-7.531399449015685,110.35532442920845
Banyudono,village,-7.545519736141053,110.32344092858227
Dukun,village,-7.549664880398785,110.33997539292562
Gondosuli,village,-7.5593125737185,110.29402564893824
Gondowangi,village,-7.547941946431344,110.294033129985
Kalibening,village,-7.558541871407288,110.35483399514796
Keningar,village,-7.538667050463803,110.3803224592133
Mranggen,village,-7.585607058885989,110.34041717417887
Ngargosoko,village,-7.573853290524155,110.3710069724572
Sumber,village,-7.543810748485905,110.35954297295915
Tegalrandu,village,-7.568929908276608,110.35670579729687
Baturono,village,-7.63486828697397,110.28415701931459
Seloboro,village,-7.610438311862057,110.28363037183851
Sirahan,village,-7.618364228655741,110.27083466423484
Tirto,village,-7.626987753961513,110.29437045272302
Basin,village,-7.7065140178555716,110.56170685371275
Joho,village,-7.7187663638745345,110.51439291350783
Kraguman,village,-7.720282219746382,110.5552046585127
Prawatan,village,-7.721770612749883,110.54695220388864
Randusari,village,-7.727660292775676,110.51764031634247
Blongkeng,village,-7.634008161382621,110.25631838572961
Salam,village,-7.622697058844574,110.28299544786373
Muntilan,village,-7.599208828529876,110.26093008433419
Ngluwar,village,-7.655220922233928,110.27823366719751
Dukun,village,-7.540855889660122,110.37700427831243
Kemalang,village,-7.603096041704761,110.48514524293714
Musuk,village,-7.569311706539023,110.5246309445655
Cepogo,village,-7.5225107972903995,110.49088560981464
Selo,village,-7.497752862196053,110.45361758249445
Sawangan,village,-7.489646472547859,110.39139976828294
Sendangsari,village,-7.718587385421366,110.25540719216644
Triharjo,village,-7.691697203732385,110.34422292522507
Kulonprogo,village,-7.81850852623875,110.16703178389032
Sleman,village,-7.715789059677864,110.38342512374831
Mlati,village,-7.738312683909678,110.34555102931034
Cangkringan,village,-7.632713337779498,110.4502806779359
Kalasan,village,-7.74703822168261,110.46446216653067
Turi,village,-7.628706978004964,110.38092355671108
Seyegan,village,-7.726821376133666,110.30028603271664
Tempel,village,-7.666407791363166,110.31758318293582
Minggir,village,-7.731849431211848,110.24844764748741
Sleman,village,-7.693426004123205,110.34961608253212
Kalibawang,village,-7.686931032381408,110.23304417876243
Pakem,village,-7.620013289723022,110.41818751240727
Glagah Harjo,village,-7.611010589961295,110.4610987740692
Margorejo,village,-7.660911374432216,110.33384112525151
Margoagung,village,-7.706248907783269,110.30431247187018
Margomulyo,village,-7.718762267150925,110.31569008773761
Wedomartani,village,-7.734391107570516,110.42707521111608
Wonokerto,village,-7.617343635353771,110.38220646595833
Banjarharjo,village,-7.687819856488003,110.24956919988327
Tambakrejo,village,-7.686753944682275,110.30315174185858
Pakembinangun,village,-7.658788893107179,110.42336491451027
Tlogoadi,village,-7.733137061528907,110.34086916165252
Caturharjo,village,-7.688633067634319,110.32589794917934
